<<<<<<< HEAD
County_FIPS,County_Name,State,UG Population,Perc_UG_Total
135,Nottoway County, Virginia,421,0.000861295
137,Orange County, Virginia,1595,0.0032631
139,Page County, Virginia,610,0.001247957
141,Patrick County, Virginia,489,0.001000411
143,Pittsylvania County, Virginia,1893,0.003872758
145,Powhatan County, Virginia,1054,0.002156306
147,Prince Edward County, Virginia,5114,0.010462378
149,Prince George County, Virginia,2287,0.004678815
153,Prince William County, Virginia,25720,0.052618766
155,Pulaski County, Virginia,1302,0.002663672
157,Rappahannock County, Virginia,148,0.000302783
159,Richmond County, Virginia,427,0.00087357
161,Roanoke County, Virginia,3375,0.006904679
163,Rockbridge County, Virginia,860,0.001759414
165,Rockingham County, Virginia,3731,0.007632994
167,Russell County, Virginia,806,0.00164894
169,Scott County, Virginia,360,0.000736499
171,Shenandoah County, Virginia,1353,0.002768009
173,Smyth County, Virginia,771,0.001577335
175,Southampton County, Virginia,514,0.001051557
177,Spotsylvania County, Virginia,5865,0.011998797
179,Stafford County, Virginia,7741,0.015836775
181,Surry County, Virginia,164,0.000335516
183,Sussex County, Virginia,290,0.000593291
185,Tazewell County, Virginia,1718,0.003514737
187,Warren County, Virginia,1701,0.003479958
191,Washington County, Virginia,2130,0.004357619
193,Westmoreland County, Virginia,520,0.001063832
195,Wise County, Virginia,1725,0.003529058
197,Wythe County, Virginia,986,0.002017189
199,York County, Virginia,3543,0.007248378
510,Alexandria City, Virginia,6098,0.012475476
520,Bristol City, Virginia,544,0.001112932
530,Buena Vista City, Virginia,1013,0.002072426
540,Charlottesville City, Virginia,7793,0.015943159
550,Chesapeake City, Virginia,12051,0.024654306
570,Colonial Heights City, Virginia,600,0.001227498
580,Covington City, Virginia,321,0.000656712
590,Danville City, Virginia,1688,0.003453362
595,Emporia City, Virginia,190,0.000388708
600,Fairfax City, Virginia,1345,0.002751642
610,Falls Church City, Virginia,555,0.001135436
620,Franklin City, Virginia,166,0.000339608
630,Fredericksburg City, Virginia,4121,0.008430868
640,Galax City, Virginia,277,0.000566695
650,Hampton City, Virginia,10064,0.02058924
660,Harrisonburg City, Virginia,15317,0.031335989
670,Hopewell City, Virginia,960,0.001963997
678,Lexington City, Virginia,3340,0.006833075
680,Lynchburg City, Virginia,14411,0.029482466
683,Manassas City, Virginia,2131,0.004359665
685,Manassas Park City, Virginia,839,0.001716452
690,Martinsville City, Virginia,363,0.000742637
700,Newport News City, Virginia,13365,0.027342527
710,Norfolk City, Virginia,22741,0.046524236
720,Norton City, Virginia,211,0.00043167
730,Petersburg City, Virginia,1307,0.002673901
735,Poquoson City, Virginia,594,0.001215223
740,Portsmouth City, Virginia,4664,0.009541754
750,Radford City, Virginia,6744,0.013797082
760,Richmond City, Virginia,20542,0.042025454
770,Roanoke City, Virginia,3220,0.006587575
775,Salem City, Virginia,2619,0.005358031
790,Staunton City, Virginia,1284,0.002626847
800,Suffolk City, Virginia,4033,0.008250835
810,Virginia Beach City, Virginia,26975,0.055186283
820,Waynesboro City, Virginia,693,0.001417761
830,Williamsburg City, Virginia,5282,0.010806078
840,Winchester City, Virginia,2080,0.004255328
=======
County_FIPS,County_Name,UG_Population,Perc_UG_Total
001,"Accomack County, Virginia",1065,0.00217881
003,"Albemarle County, Virginia",9633,0.019707487
005,"Alleghany County, Virginia",384,0.000785599
007,"Amelia County, Virginia",251,0.000513504
009,"Amherst County, Virginia",1702,0.003482004
011,"Appomattox County, Virginia",590,0.00120704
013,"Arlington County, Virginia",7412,0.015163697
015,"Augusta County, Virginia",1691,0.0034595
017,"Bath County, Virginia",122,0.000249591
019,"Bedford County, Virginia",2384,0.00487726
021,"Bland County, Virginia",218,0.000445991
023,"Botetourt County, Virginia",932,0.001906714
025,"Brunswick County, Virginia",676,0.001382982
027,"Buchanan County, Virginia",696,0.001423898
029,"Buckingham County, Virginia",510,0.001043374
031,"Campbell County, Virginia",2077,0.00424919
033,"Caroline County, Virginia",812,0.001661215
035,"Carroll County, Virginia",556,0.001137482
036,"Charles City County, Virginia",140,0.000286416
037,"Charlotte County, Virginia",292,0.000597383
041,"Chesterfield County, Virginia",16792,0.034353589
043,"Clarke County, Virginia",443,0.000906303
045,"Craig County, Virginia",102,0.000208675
047,"Culpeper County, Virginia",1717,0.003512691
049,"Cumberland County, Virginia",157,0.000321195
051,"Dickenson County, Virginia",466,0.000953357
053,"Dinwiddie County, Virginia",1696,0.003469729
057,"Essex County, Virginia",318,0.000650574
059,"Fairfax County, Virginia",61829,0.126491666
061,"Fauquier County, Virginia",3161,0.006466871
063,"Floyd County, Virginia",349,0.000713995
065,"Fluvanna County, Virginia",865,0.001769644
067,"Franklin County, Virginia",2912,0.005957459
069,"Frederick County, Virginia",3057,0.006254104
071,"Giles County, Virginia",440,0.000900166
073,"Gloucester County, Virginia",1438,0.002941905
075,"Goochland County, Virginia",506,0.00103519
077,"Grayson County, Virginia",417,0.000853111
079,"Greene County, Virginia",449,0.000918578
081,"Greensville County, Virginia",370,0.000756957
083,"Halifax County, Virginia",766,0.001567106
085,"Hanover County, Virginia",5682,0.01162441
087,"Henrico County, Virginia",15110,0.030912502
089,"Henry County, Virginia",1725,0.003529058
091,"Highland County, Virginia",20,4.09166E-05
093,"Isle of Wight County, Virginia",1617,0.003308108
095,"James City County, Virginia",3045,0.006229554
097,"King and Queen County, Virginia",175,0.00035802
099,"King George County, Virginia",865,0.001769644
101,"King William County, Virginia",679,0.001389119
103,"Lancaster County, Virginia",198,0.000405074
105,"Lee County, Virginia",778,0.001591656
107,"Loudoun County, Virginia",19466,0.03982414
109,"Louisa County, Virginia",1019,0.002084701
111,"Lunenburg County, Virginia",372,0.000761049
113,"Madison County, Virginia",279,0.000570787
115,"Mathews County, Virginia",101,0.000206629
117,"Mecklenburg County, Virginia",820,0.001677581
119,"Middlesex County, Virginia",377,0.000771278
121,"Montgomery County, Virginia",24637,0.050403131
125,"Nelson County, Virginia",588,0.001202948
127,"New Kent County, Virginia",565,0.001155894
131,"Northampton County, Virginia",217,0.000443945
133,"Northumberland County, Virginia",317,0.000648528
135,"Nottoway County, Virginia",421,0.000861295
137,"Orange County, Virginia",1595,0.0032631
139,"Page County, Virginia",610,0.001247957
141,"Patrick County, Virginia",489,0.001000411
143,"Pittsylvania County, Virginia",1893,0.003872758
145,"Powhatan County, Virginia",1054,0.002156306
147,"Prince Edward County, Virginia",5114,0.010462378
149,"Prince George County, Virginia",2287,0.004678815
153,"Prince William County, Virginia",25720,0.052618766
155,"Pulaski County, Virginia",1302,0.002663672
157,"Rappahannock County, Virginia",148,0.000302783
159,"Richmond County, Virginia",427,0.00087357
161,"Roanoke County, Virginia",3375,0.006904679
163,"Rockbridge County, Virginia",860,0.001759414
165,"Rockingham County, Virginia",3731,0.007632994
167,"Russell County, Virginia",806,0.00164894
169,"Scott County, Virginia",360,0.000736499
171,"Shenandoah County, Virginia",1353,0.002768009
173,"Smyth County, Virginia",771,0.001577335
175,"Southampton County, Virginia",514,0.001051557
177,"Spotsylvania County, Virginia",5865,0.011998797
179,"Stafford County, Virginia",7741,0.015836775
181,"Surry County, Virginia",164,0.000335516
183,"Sussex County, Virginia",290,0.000593291
185,"Tazewell County, Virginia",1718,0.003514737
187,"Warren County, Virginia",1701,0.003479958
191,"Washington County, Virginia",2130,0.004357619
193,"Westmoreland County, Virginia",520,0.001063832
195,"Wise County, Virginia",1725,0.003529058
197,"Wythe County, Virginia",986,0.002017189
199,"York County, Virginia",3543,0.007248378
510,"Alexandria city, Virginia",6098,0.012475476
520,"Bristol city, Virginia",544,0.001112932
530,"Buena Vista city, Virginia",1013,0.002072426
540,"Charlottesville city, Virginia",7793,0.015943159
550,"Chesapeake city, Virginia",12051,0.024654306
570,"Colonial Heights city, Virginia",600,0.001227498
580,"Covington city, Virginia",321,0.000656712
590,"Danville city, Virginia",1688,0.003453362
595,"Emporia city, Virginia",190,0.000388708
600,"Fairfax city, Virginia",1345,0.002751642
610,"Falls Church city, Virginia",555,0.001135436
620,"Franklin city, Virginia",166,0.000339608
630,"Fredericksburg city, Virginia",4121,0.008430868
640,"Galax city, Virginia",277,0.000566695
650,"Hampton city, Virginia",10064,0.02058924
660,"Harrisonburg city, Virginia",15317,0.031335989
670,"Hopewell city, Virginia",960,0.001963997
678,"Lexington city, Virginia",3340,0.006833075
680,"Lynchburg city, Virginia",14411,0.029482466
683,"Manassas city, Virginia",2131,0.004359665
685,"Manassas Park city, Virginia",839,0.001716452
690,"Martinsville city, Virginia",363,0.000742637
700,"Newport News city, Virginia",13365,0.027342527
710,"Norfolk city, Virginia",22741,0.046524236
720,"Norton city, Virginia",211,0.00043167
730,"Petersburg city, Virginia",1307,0.002673901
735,"Poquoson city, Virginia",594,0.001215223
740,"Portsmouth city, Virginia",4664,0.009541754
750,"Radford city, Virginia",6744,0.013797082
760,"Richmond city, Virginia",20542,0.042025454
770,"Roanoke city, Virginia",3220,0.006587575
775,"Salem city, Virginia",2619,0.005358031
790,"Staunton city, Virginia",1284,0.002626847
800,"Suffolk city, Virginia",4033,0.008250835
810,"Virginia Beach city, Virginia",26975,0.055186283
820,"Waynesboro city, Virginia",693,0.001417761
830,"Williamsburg city, Virginia",5282,0.010806078
840,"Winchester city, Virginia",2080,0.004255328
>>>>>>> refs/remotes/origin/main
