"County_Name","ID","Gender","Race","ACT_Score","HS_GPA","HS_Type","College_Type","PostHS_Plan","FirstGen","PellElig","County_FIPS","State"
"Albemarle ",316,2,1,19,2.53,1,1,2,2,1,"003"," Virginia"
"Albemarle ",317,2,4,16,3.47,1,1,1,2,2,"003"," Virginia"
"Albemarle ",318,1,1,23,3.17,2,1,1,2,1,"003"," Virginia"
"Albemarle ",319,2,1,19,3.05,1,1,3,2,2,"003"," Virginia"
"Albemarle ",320,2,3,23,2.32,1,1,1,2,2,"003"," Virginia"
"Albemarle ",321,2,1,21,2.13,1,3,2,2,2,"003"," Virginia"
"Albemarle ",322,1,4,17,2.53,1,1,1,2,1,"003"," Virginia"
"Albemarle ",323,2,2,26,3.68,2,1,1,1,2,"003"," Virginia"
"Albemarle ",324,1,1,17,2.94,1,2,1,1,2,"003"," Virginia"
"Albemarle ",325,2,1,23,3.07,1,1,1,2,2,"003"," Virginia"
"Albemarle ",326,2,2,21,3.78,2,1,2,1,2,"003"," Virginia"
"Albemarle ",327,1,1,19,2.12,1,0,1,2,2,"003"," Virginia"
"Albemarle ",328,1,4,12,3.46,1,1,1,2,2,"003"," Virginia"
"Albemarle ",329,1,1,20,3.72,3,0,2,2,2,"003"," Virginia"
"Albemarle ",330,2,1,20,3.25,1,0,1,2,2,"003"," Virginia"
"Albemarle ",331,2,1,20,1.85,1,1,1,2,2,"003"," Virginia"
"Albemarle ",332,2,1,24,2.82,1,1,1,2,2,"003"," Virginia"
"Albemarle ",333,1,1,19,3.04,1,0,1,2,2,"003"," Virginia"
"Albemarle ",334,2,3,18,2.37,1,3,1,2,2,"003"," Virginia"
"Albemarle ",335,2,3,24,1.82,2,1,1,2,1,"003"," Virginia"
"Albemarle ",336,2,3,19,2.81,1,1,1,2,2,"003"," Virginia"
"Albemarle ",337,1,2,21,3.76,1,1,1,2,1,"003"," Virginia"
"Albemarle ",338,2,1,19,2.65,1,1,2,2,2,"003"," Virginia"
"Albemarle ",339,1,1,22,2.51,1,3,1,2,2,"003"," Virginia"
"Albemarle ",340,2,1,21,3.13,2,1,3,2,1,"003"," Virginia"
"Albemarle ",341,2,1,20,3.49,1,1,2,2,2,"003"," Virginia"
"Albemarle ",342,2,1,19,2.35,3,1,1,2,1,"003"," Virginia"
"Albemarle ",343,1,1,19,3.38,1,1,2,2,2,"003"," Virginia"
"Albemarle ",344,1,4,19,3.54,1,3,3,2,1,"003"," Virginia"
"Albemarle ",345,2,1,21,2.51,2,1,1,2,1,"003"," Virginia"
"Albemarle ",346,2,1,19,3.69,1,3,3,2,1,"003"," Virginia"
"Albemarle ",347,1,3,22,2.12,1,1,1,2,2,"003"," Virginia"
"Albemarle ",348,1,1,23,1.87,1,3,1,2,2,"003"," Virginia"
